name,profile
Prof. Amitabha Chattopadhyay,"Prof. Amitabha Chattopadhyay is a molecular biologist known for developing the 'Parallax' method for determining membrane penetration depths of a wide variety of membrane-bound fluorophores including proteins and peptides. The method became very popular in subsequent years and earned him the Shanti Swarup Bhatnagar Prize in the Biological Sciences category.Prof. Chattopadhyay received his bachelor's degree in Chemistry from St. Xavier's College, Kolkata, and a master's in the same subject from IIT Kanpur. He obtained his Ph.D. from the State University of New York (SUNY) at Stony Brook and was a postdoctoral fellow at the University of California, Davis. Subsequently, he joined the Centre for Cellular and Molecular Biology (CCMB) in Hyderabad. Currently, he is an Adjunct Professor, Department of Biosciences and Bioengineering, Indian Institute of Technology, Guwahati. Currently, he is an Emeritus Professor, Biological Sciences, Academy of Scientific and Innovative Research and J.C. Bose Fellow, Centre for Cellular & Molecular Biology. He has recently been awarded 'The World Academy of Sciences' (TWAS) prize 2016.


Prof. Chattopadhyay's work is focused on monitoring organization, dynamics, and function of biological membranes in healthy and diseased conditions. His research group has developed and applied novel and sensitive techniques such as the wavelength-selective fluorescence approach using fluorescence spectroscopy for monitoring solvent relaxation in membranes, membrane-mimetic media, and proteins. These pioneering studies have led to a better understanding of the dynamics of hydration of membranes and proteins.

He is positioned as a J.C. Bose Fellow, Outstanding Scientist at Center for Cellular and Molecular Biology, and the Dean of Biological Sciences at the Academy for Scientific and Innovative Research. He is an Adjunct Professor at the Special Center for Molecular Medicine, Jawaharlal Nehru University; Indian Institute of Science; Indian Institute of Technology Kanpur; Tata Institute of Fundamental Research, Mumbai; Indian Institute of Science Education and Research, Mohali; and Royal Melbourne Institute of Technology, Australia. He is an honorary faculty member at Jawaharlal Nehru Center for Advanced Scientific Research, Bangalore."
Prof. Arnab Rai Choudhuri,"Prof. Arnab Rai Choudhuri is one of the world's leading scientists in the field of solar magneto-hydrodynamics. He has made fundamental contributions to the formation of sunspots and the generation of an 11-year solar cycle by the dynamo process. Currently, he serves as a Professor of Physics at the Indian Institute of Science, Bangalore.Prof. Choudhuri received his bachelor's degree in Physics from the Presidency College, Calcutta University, in 1978. In 1980, he completed his masters in the same subject from IIT Kanpur. In 1985, he obtained his Ph.D. from the University of Chicago under the guidance of Prof. E.N. Parker. From 1985 to 1987, he was a visiting scientist at the High Altitude Observatory, National Center for Atmospheric Research, Boulder, U.S.A. In 1987, he joined the Indian Institute of Science, Bangalore as a lecturer and continued to work there as a Professor with the Department of Physics. Prof. Choudhuri has recently been elected as a Fellow of 'The World Academy of Sciences' (TWAS) 2016 for making fundamental contributions towards the advancement of science in developing countries.



Prof. Choudhuri is a theoretical astrophysicist who primarily works on MHD problems related to the Sun though he has worked on other astrophysical systems such as AGNs, jets, accretion, pulsars as well. He is one of the originators of the flux transport dynamo model, which he used to make the first successful prediction of a solar cycle from a theoretical model. Most of his papers are written on the generation of solar magnetic fields by the dynamo process and the formation of sunspots by the buoyant rise of flux tubes. Together with his students, he has developed a code-named 'Surya' for solving the basic equations of solar dynamo theory. In 2005, he released the guide prepared for using this code to the public. He is an author of two books: The Physics of Fluids and Plasmas: An Introduction for Astrophysicists and Astrophysics for Physicists. One of his papers (Choudhuri, Chatterjee and Jiang 2007, PRL 98, 131103) was selected as the ""Editors' Suggestion"" in Physical Review Letters - one of the world's highest honors for a physics paper."
Prof. Sandip P. Trivedi,"Prof. Sandip P. Trivedi is an Indian theoretical physicist who is known for making seminal contributions to the field of string theory. Currently, he serves as the Director of the Tata Institute for Fundamental Research (TIFR), Mumbai. In 2010, IIT Kanpur conferred upon him the Distinguished Alumnus Award. Recently, he has been elected as a Fellow of 'The World Academy of Sciences' (TWAS) 2016 for the advancement of science in developing countries.Prof. Sandip Trivedi completed his master's in Integrated Physics in 1985 from IIT Kanpur. In 1990, he completed his Ph.D. in theoretical Physics from California Institute of Technology, Pasadena, USA. From 1990 to 1992, he worked as a post-doctoral research associate at the Institute for Advanced Study, Princeton, New Jersey, USA. From 1992 to 1994, he was a John A. McCone post-doctoral research fellow in the Department of Physics at California Institute of Technology, Pasadena, USA. Later, he joined the Department of Theoretical Physics at the Fermi National Accelerator Laboratory, Batavia, Illinois, USA, as an Associate Scientist and worked there till 1999.



In February 1999, he returned to India and joined the Tata Institute of Fundamental Research, Mumbai, as a Reader. As a theoretical physicist, he specializes in string theory, cosmology, and particle physics. He has made important original contributions to several areas of theoretical physics. He is credited with finding the first models of accelerated expansion of the universe in low energy supersymmetric string along with other fellow researchers. He is also well known for his pioneering contribution in the proposal of cosmology with a small positive cosmological constant, within the framework of a consistent theory of quantum gravity.

Prof. Trivedi's work has won him several prestigious awards and recognitions. In 2010, he was awarded the Infosys Prize in Physical Sciences category for finding an ingenious way to solve two of the most outstanding puzzles of Superstring Theory simultaneously: What is the origin of dark energy of the Universe? And Why is there no massless scalar particle? He is a fellow of the Indian National Science Academy (2012) and the Indian Academy of Sciences (2006). He is now a member of the program advisory board of the International Center for Theoretical Sciences (ICTS).

Since January 2015, Prof. Trivedi has been serving as the Director of TIFR."
Prof. Rakesh K. Jain,"Prof. Rakesh K. Jain is the Andrew Werk Cook Professor of Tumor Biology at Massachusetts General Hospital in the Harvard Medical School and Director of the E.L. Steele Laboratories for Tumor Biology at the Massachusetts General Hospital. He is known for his outstanding research work on tumor biology, particularly research on the link between tumor blood vessels and improving the effects of chemotherapy and radiation treatment.In 1972, Prof. Jain received his bachelor's degree in 1972 in Chemical Engineering from IIT Kanpur. In 1974 and 76, he received his MS and Ph.D. degrees from the University of Delaware on the same subject. From 1976 to 1978, he served as an Assistant Professor of Chemical Engineering at Columbia University. In 1978, he joined Carnegie Mellon University where he worked as an Assistant Professor from 1978 to 1979, an Associate Professor from 1979 to 1983, and a Professor from 1983 to 1991 of Chemical Engineering. He is a Mentor to more than 100 doctoral and postdoctoral students from over a dozen different disciplines, and a collaborator of over 100 clinicians and scientists worldwide. Prof. Jain's findings are summarized in more than 435 publications, including three in Scientific American. In 1991, he became the Andrew Werk Cook Professor of Radiation Oncology (Tumor Biology) at Harvard Medical School and Director of Edwin L. Steele Laboratories of Tumor Biology at Massachusetts General Hospital. In 2014-2015, he was among the top 1% cited researchers in Clinical Medicine.



Prof. Jain is regarded as a pioneer in the area of the tumor microenvironment and widely recognized for his seminal discoveries in tumor biology, drug delivery, in vivo imaging, bioengineering, and bench-to-bedside translation. He is most celebrated for proposing a new principle 'normalization of vasculature' for the treatment of malignant and non-malignant diseases characterized by abnormal vessels that afflict more than 500 million people worldwide. This concept has fundamentally changed the thinking of scientists and clinicians about how antiangiogenic agents work, and how to combine them optimally with other therapies to improve the treatment outcome in patients.

Prof. Jain has served and continues to serve on advisory panels to government, industry, and academia, and is a member of editorial advisory boards of 22 journals, including Nature Reviews Cancer and Nature Reviews Clinical Oncology. He has received more than 75 awards from engineering and medical professional societies/institutions. Cancer is spreading at an alarming rate, especially in developing countries like India, which are expected to show steep growth in a number of cases reported. Prof. Jain's work will go a long way in giving effective treatment for those suffering from the disease.."
Prof. Thirumalai Venkatesan,"Prof. T. Venkatesan is currently the Director of the Center for Quantum Research and Technology (Professor of Physics and ECE) at University of Oklahoma, and Scientific affiliate at NIST Gaithersburg.Prof. Venkatesan did his BSc.(Hons.) in Physics from IIT Kharagpur in 1969. He obtained his M.Sc. degree in Physics from IIT Kanpur in 1971 and went on to earn a Ph.D. from the Bell Labs and University of New York in 1977. Prior to his current position, he was Director of the Nano Institute at the National University of Singapore (NUSNNI) where he was a Professor of ECE, Physics, MSE and NGS. He wore various hats at Bell Labs and Bellcore before becoming a Professor at University of Maryland. As the inventor of the pulsed laser deposition (PLD) process, he has over 800 papers and 34 patents and is globally among the top physicists (ranked at 66 in 2000) in terms of his citations (Over 51,186 with a hirsch Index of 115-Google Scholar). He has graduated over 56 PhDs, 35 Post Docs and over 35 undergraduates. He is also the founder and Chairman of Neocera, and Neocera Magma, companies specializing in PLD and magnetic field imaging systems and co-founder of Blue Wave Semiconductors. He recently helped launch two healthcare companies in Singapore, Cellivate and Breathonix. Close to 12 of the researchers (PhD students/ Postdocs) under him have become entrepreneurs starting over 25 different commercial enterprises."
Prof. Anurag Kumar,"Prof. Anurag Kumar, an expert in communication networks, is the 20th Director of the Indian Institute of Science Bangalore. Known as a tough task master and a good decision maker, he has contributed immensely both as an academician and an administrator. His work has won numerous awards and recognitions including the IISc Alumni Award for Excellence in Engineering Research 2008. IIT Kanpur has conferred upon him the Distinguished Alumnus Award 2016 for academic excellence.Prof. Anurag Kumar received his bachelor's degree in Electrical Engineering from IIT Kanpur in 1977. He was awarded with the President's Gold Medal, L.N. Das Memorial Gold Medal and Proficiency Prize for the best outgoing undergraduate student, the best undergraduate student in Electrical Engineering and the best project work in Electrical Engineering, respectively.



In 1981, he completed his Ph.D. from Cornell University where he worked under the guidance of Prof. T.L. Fine. For over six years, he was a member of technical staff at AT&T Bell Labs, Holmdel, N.J., where he worked on the performance analysis of computer systems, communication networks and manufacturing systems. In 1988, he joined the Department of Electrical Communication Engineering (ECE) at the Indian Institute of Science (IISc), Bangalore and since then has been associated with it. From 1989 to 2003, he coordinated ERNET, a nationwide Education and Research Network project for networking the major education and research institutions in India. This project was instrumental in bringing network connectivity to Indian students and researchers in the late 80s and early 90s. During his tenure with the institute, he held several administrative positions including the Associate Chairman of the ECE Department from 2000 to 2004, the Chairman of the ECE Department from 2004 to 2007, and the Chairman of Electrical Sciences Division from 2007 to 2014.

On 29th March 2014, Prof. Kumar became the first engineer to take over as the Director of IISc after a gap of more than three decades. He, however, maintained that the institute was known for its mix of scientists and engineers and such distinction was inconsequential.

Prof. Kumar's research interests include stochastic modeling, analysis, optimization and control problems arising in communication networks and distributed systems. He has worked on analytical and experimental research in traffic modeling, traffic engineering and quality of service techniques in communication networks. His work has won several recognitions and awards. He is an elected fellow of the IEEE, Indian National Science Academy (INSA), Indian Academy of Science (IASc), Indian National Academy of Engineering (INAE), Institute of Electronics and Telecommunication Engineers (IETE) and The World Academy of Sciences (TWAS). He has also been awarded the DST J.C. Bose National Fellowship for the period 2011-2021. He has also served as an Area Editor for IEEE Transactions on Networking, and for IEEE Communications Surveys and Tutorials."
Prof. Veena Sahajwalla,"Prof. Sahajwalla is an internationally respected scientist and engineer. Her research focuses on the sustainability of materials and processes with an emphasis on environmental and community benefits. One of her most celebrated achievements is the invention of a process of recycling plastics and rubber tyres in steelmaking, now known around the world as green steel.Prof. Sahajwalla did her B.Tech in Materials and Metallurgical Engineering from IIT Kanpur in 1986. She has successfully collaborated with several companies and institutions in Australia and overseas. She has established strong partnerships that have enriched the knowledge of industrial processes and problems. As the director of the SMaRT centre, she has provided leadership for research programs on sustainable materials, placing a strong emphasis on the skills and knowledge that are urgently needed to enhance sustainability. Prof. Sahajwalla is passionate about science and engineering and continues to play a very active role in communicating her ideas to industry, government, students and the wider community. She has presented widely on her research and experiences in Australia and overseas and has published in excess of 250 papers in leading scientific journals.



Prof. Sahajwalla has received several awards and recognitions for her work. Some of these include Eureka Prize (2005), Pravasi Bhartiya Samman for outstanding achievement in science (2011), Telstra National award for business innovation (2011), CRC Australian collaborative innovation award (2012), Overall winner of the Australian innovation challenge (2012), Howe memorial award by AIST (2013) and Sydney Engineers Excellence award (2014).

Prof. Sahajwalla's research is recognized for changing the way the properties of carbon-bearing materials are understood, including coals, cokes, graphite, plastics and rubber. Her work has had a significant impact on the theory and practices that form the basis of operations of the iron-making, steel-making and ceramics industries. Of particular importance is her demonstration that waste plastics and waste rubber can be partial replacements for coal and coke in steel-making. Her unique focus on the evolution of properties in high-temperature conditions has not only advanced scientific understanding of materials processing, but has provided cost-effective opportunities for industries to move towards sustainable and environmentally friendly production methods."
Prof. Manindra Agrawal,"Prof. Manindra Agrawal was born on 20th May 1966 at Allahabad, Uttar Pradesh. He received his B.Tech. and Ph.D. in Computer Science and Engineering from IIT Kanpur in 1986 and 1991, respectively. He later worked as a fellow at the School of Mathematics, SPIC Science Foundation, Chennai from 1993 to 1995, and a Humboldt Fellow at the University of Ulm, Germany, from 1995 to 1996. In 1996, he joined as an Assistant Professor in the Department of Computer Science and Engineering at IIT Kanpur. In 2003, he was appointed as the N. Rama Rao Chair Professor. From 2003-2004, he was a visiting scholar at the Institute for Advanced Study.Prof. Agrawal has made significant contributions to the theory of efficient reactions between computational problems, which are a part of the program studying the well-known ""P vs NP"" question in mathematics/ computer science. He co-created the AKS primality test with Neeraj Kayal and Nitin Saxena for which he and his co-authors won the 2006 Fulkerson Prize and the 2006 Godel Prize. He was also awarded the Clay Research Award for this work in 2002. The test is the first unconditional deterministic algorithm to test an n-digit number for primality in a time that has been proven to be polynomial in n. He designed private-key encryption algorithms for Indian Navy and Air Force. These algorithms are being used by the armed forces to secure their communications.

In September 2008, he was chosen for the first Infosys Mathematics Prize for outstanding contributions in the broad field of mathematics. In 2013, he was honored with Padma Shri.."
Prof. Jainendra K. Jain,"Prof. Jainendra K. Jain is the Erwin W. Mueller Professor of Physics at Pennsylvania State University. He is a condensed matter theorist with interests in the area of strongly interacting electronic systems in low dimensions. Born in 1960 in Rajasthan, India, he received his Bachelor's degree from Maharaja College, Jaipur and a Master's from the Indian Institute of Technology Kanpur. In 1985, he completed his Ph.D in Physics at the Stony Brook University."
Prof. Dipankar Das Sarma,"Prof. Dipankar Das Sarma obtained his Integrated MSc degree in physics from IIT Kanpur in the year 1977 and Ph.D. from IISc Bangalore in 1982. Prof. Sarma started off his career as a research associate in IISc. He has worked as a guest scientist at Kernforschungsanlage, Germany, as a visiting Professor at the University of Tokyo, the istituto di struttura della materia, CNR, Rome, and Trieste.He was the MLS Chair Professor as well as the founder-Chairman of the Centre for Advanced Materials at the Indian Association for the Cultivation of Science (IACS), Kolkata during 2006-2008. He has been a member of the faculty at solid-state and structural chemistry unit at the Indian Institute of Science, Bangalore, since 1986 and is currently a Professor and the Chairman of the Department. He also holds time-bound (2011-2016) joint appointments as a guest Professor at the department of physics and astronomy, Uppsala University, Sweden, and Distinguished Scientist of the Council of Scientific and Industrial Research, India. He is or has been a distinguished honorary/Adjunct Professor of a number of institutions, such as JNCASR, Bangalore (2003-); TIFR, Mumbai (2003-2009 and 2011-2014); IISER, Kolkata (2007-2009); IACS, Kolkata, (2004-2006 and 2009-2014); and SNBNCBS, Kolkata (2014-202017).

Prof. Sarma is a world leader in two distinct research areas, strongly correlated electron systems and semiconductor nanoparticles, with profound contributions in several specific sub-areas under these two broad categories of scientific research. Prof. Sarma has been instrumental in contributing to the growth of science in India. He is a pioneer among Indians in the field of investigation of properties of matter employing synchrotron radiation. He has played a significant role in providing access to international synchrotron facilities for Indian scientists. Besides publishing a large number of papers in the topmost journals, he has been invited by many international conferences all around the world to deliver the keynote, plenary, or invited talks. There are many leading scientists who work with him in close collaboration in numerous projects..

He has been serving in a large number of national and international committees to facilitate research and research organisations, for example as a member, Scientific Advisory Board, CRANN, Trinity College Dublin, Ireland (2012-2013, 2014-2016), the Chairman of the Research Council of National Chemical Laboratories (2010-2013, 2013-2016), member of the Council of Raja Ramanna Centre for Advanced Technology (2005-2008 and 2011-2016), of Indo-French Centre for the promotion of advanced research (2009-2012), of Indian National Science Academy (2009-2011), of Asia-Pacific Centre for Theoretical Physics, Pohang, Korea (2008-2010), and Chairman of the proposal review committee, Elettra Synchrotron Centre, Trieste (2003-2010). He has served on the editorial board of a large number of science journals.

Innovation is the hallmark of Professor Sarma's work. Besides this, he is able to uniquely combine with perfect ease sophisticated experimental techniques with various theoretical approaches on one hand, and physics and chemical physics/physical chemistry on the other, providing a very distinctive approach. Prof. Sarma has been recognised for his work, not only nationally, but also internationally.

The Distinguished Alumnus Award is being conferred upon Prof. Dipankar Das Sarma for his outstanding contributions to understanding the structure and properties of condensed matter employing synchrotron radiations."
